scrape_date,scrape_time,product_name,category,competitor_platform,myntra_price,competitor_price,price_delta,price_delta_pct,parity_flag,data_quality,myntra_img_url,competitor_img_url,myntra_url,competitor_url,myntra_method,comp_method,myntra_status,comp_status,floor_used
2026-05-05,2026-05-05 11:37:45,Max Self Design Top,Clothing,Max Fashion,489.0,699.0,-210.0,-30.04,myntra_lower,ok,,"https://media.landmarkshops.in/cdn-cgi/image/h=831,w=615,q=85,fit=cover/max-new/1000015571981-Brown-BROWN-1000015571981_01-2100.jpg",https://www.myntra.com/tops/max/max-women-self-design-top-/35477194/buy,https://www.maxfashion.in/in/en/SHOP-Max-Brown-Women-Floral-Knitted-Top-For-Women/p/1000015571988,requests,selenium,200,200,400
2026-05-05,2026-05-05 11:37:45,MAC Glow Play Lip Balm,Makeup,Shoppers Stop,2250.0,2250.0,0.0,0.0,parity,ok,,,https://www.myntra.com/lip-balm/m.a.c/mac-glow-play-tender-talk-lip-balm-with-shea-butter-314-g---vibe/29945180/buy,"https://www.shoppersstop.com/M.A.C-Glow-Play-Lip-Balm---Name-,-3.14-gm/p-MAC-S7YQ11SS_Name??nsbp=true&utm_source=&utm_medium=&utm_campaign=-23703991363&gad_source=4&gad_campaignid=23703998395&gbraid=0AAAAApzcWB1IWVzw8MuHJK7lJLsiI9w08&gclid=CjwKCAjw5NvPBhAoEiwA_2egfj2WBfw3jLe1Tq7drcbpd2wz9DCHWiqr5lINhV5OKaz6Y8n-zjxLTBoCwrYQAvD_BwE",requests,requests,200,200,150
2026-05-05,2026-05-05 11:37:45,Max Striped Drop Shoulder Tshirt,Clothing,Amazon,3999.0,799.0,3200.0,400.5,myntra_higher,ok,,https://m.media-amazon.com/images/I/41cPA3qAnWL._SX342_SY445_QL70_ML2_.jpg,https://www.myntra.com/tshirts/max/max-striped-drop-shoulder-sleeves-pure-cotton-t-shirt/22311506/buy,https://amzn.in/d/03aQuC1P,selenium,requests,200,200,400
2026-05-05,2026-05-05 11:37:45,Lakme Lip & Cheek Mousse Rosy Plum,Makeup,Amazon,449.0,328.0,121.0,36.89,myntra_higher,ok,,https://m.media-amazon.com/images/I/31YKF9+i5eL._SY300_SX300_QL70_FMwebp_.jpg,https://www.myntra.com/lipstick/lakme/lakme-double-duty-2in1-lip--cheek-mousse-matte-lipstick--soft-blush-9g---rosy-plum/9599015/buy,https://amzn.in/d/00Bs5sSl,requests,requests,200,200,150
2026-05-05,2026-05-05 11:37:45,Joker & Witch Jewellery Set,Accessories,Flipkart,339.0,,,,,missing_price,,,https://www.myntra.com/jewellery-set/joker+%26+witch/joker--witch-gold-plated-white-stone-studded-layered-jewellery-set/15149012/buy,https://dl.flipkart.com/s/lYW3hwuuuN,requests,failed,200,200,150
2026-05-05,2026-05-05 11:37:45,Bella Vita Lipstick Wine Stain,Makeup,Amazon,159.0,159.0,0.0,0.0,parity,ok,,https://m.media-amazon.com/images/I/41rcwKmpXFL._SY300_SX300_QL70_ML2_.jpg,https://www.myntra.com/lipstick/bella+vita+organic/bella-vita-organic-creamy-matte-bullet-lipstick---42-g---wine-stain-6-/31067460/buy,https://amzn.in/d/02Aa7h39,requests,requests,200,200,150
2026-05-05,2026-05-05 11:37:45,Mamaearth Beetroot Serum,Skincare,Flipkart,396.0,,,,,missing_price,,,https://www.myntra.com/serum-and-gel/mamaearth/mamaearth-beetroot-hydraful-essence-serum-for-hydrated-pink-glow---50-ml/28186588/buy,https://dl.flipkart.com/s/WJGDtXNNNN,requests,failed,200,200,99
2026-05-05,2026-05-05 11:37:45,The Ordinary Hyaluronic Acid,Skincare,Amazon,1000.0,1800.0,-800.0,-44.44,myntra_lower,ok,,,https://www.myntra.com/serum-and-gel/the+ordinary/the-ordinary-hyaluronic-acid-2--b5---60ml/33135573/buy,https://amzn.in/d/09vQU6SQ,requests,requests,200,200,99
2026-05-05,2026-05-05 11:37:45,Foxtale Moisturizer,Skincare,Amazon,199.0,100.0,99.0,99.0,myntra_higher,ok,,https://m.media-amazon.com/images/I/31tuwmvvlUL._SY300_SX300_QL70_FMwebp_.jpg,https://www.myntra.com/day-cream/foxtale/foxtale-pure-bliss-nourishing-moisturizer--10-ml/36661119/buy,https://amzn.in/d/0iQgEMtY,requests,requests,200,200,99
2026-05-05,2026-05-05 11:37:45,Puma Flip Flops,Footwear,Puma,899.0,1399.0,-500.0,-35.74,myntra_lower,ok,,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/390142/01/sv01/fnd/IND/fmt/png/Wave-Flip-Flops",https://www.myntra.com/flip-flops/puma/puma-wave-flip-flip-flops/21767236/buy,https://in.puma.com/in/en/pd/wave-flip-flops/390142,requests,requests,200,200,300
